step_order	command	target	value	description
1	click	xpath////*[@id="app"]/div[1]/div[2]/div[1]/header[1]/div[1]	NULL	Activity Screen help_outline report keyboard notifications TL Vivek sethia expand_more
2	click	xpath////*[@id="app"]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/button[1]/i[1]	NULL	chevron_right
3	click	xpath////*[@id="accordion-summary-accordionNavGroup-purchase-6"]/span[1]/div[3]/i[1]	NULL	chevron_right
4	click	aria/Purchase Orders	NULL	Purchase Orders
5	click	aria/Create	NULL	Create
6	click	aria/Material PO	NULL	Material PO
7	click	[placeholder="Search by company name or GSTIN"]	NULL	Company GST*
8	input	[placeholder="3"]	3	Company GST*
9	input	[placeholder="37"]	37	Company GST*
10	click	aria/37AAALS2726B1Z9	NULL	37AAALS2726B1Z9
11	click	[placeholder="Select plant"]	NULL	Plant
12	input	[placeholder="t"]	t	Plant
13	input	[placeholder="te"]	te	Plant
14	input	[placeholder="tes"]	tes	Plant
15	click	aria/Test-Trading Plant	NULL	Test-Trading Plant
16	click	[placeholder="Search by contact name or GSTIN/PAN"]	NULL	Contact*
17	input	[placeholder="a"]	a	Contact*
18	input	[placeholder="ar"]	ar	Contact*
19	input	[placeholder="a"]	a	Contact*
20	input	[placeholder="Search by contact name or GSTIN/PAN"]		Contact*
21	input	[placeholder="m"]	m	Contact*
22	input	[placeholder="ma"]	ma	Contact*
23	input	[placeholder="may"]	may	Contact*
24	input	[placeholder="maya"]	maya	Contact*
25	click	aria/GSTIN: 24AAACC1206D1ZM - Gujarat	NULL	GSTIN: 24AAACC1206D1ZM - Gujarat
26	click	div.form-group.form-group-depth-1 > div.input-group > span.input-group-addon.addon-after > button.btn > i.material-icons-outlined.number-edit-trigger	NULL	edit
27	click	input[name="temporaryNumber"]	NULL	Company GST*
28	input	input[name="temporaryNumber"]	10	Company GST*
29	input	input[name="temporaryNumber"]	1	Company GST*
30	input	input[name="temporaryNumber"]	11	Company GST*
31	input	input[name="temporaryNumber"]	110	Company GST*
32	input	input[name="temporaryNumber"]	110	Company GST*
33	click	aria/Submit	NULL	Submit
34	click	html.development > body	NULL	click
35	click	[placeholder="Select payment term"]	NULL	Payment Term*
36	click	aria/Advance	NULL	Advance
37	click	[placeholder="Test"]	NULL	Account Manager
38	input	[placeholder="Test"]	m	Account Manager
39	input	[placeholder="Test"]	ma	Account Manager
40	input	[placeholder="Test"]	may	Account Manager
41	click	aria/Employee Code: OFB2550	NULL	Employee Code: OFB2550
42	scroll	NULL	{"x":0,"y":304}	Scroll to 0, 304
43	click	aria/Expected Delivery Date	NULL	Expected Delivery Date
44	click	aria/Choose Wednesday, February 25th, 2026	NULL	Choose Wednesday, February 25th, 2026
45	click	aria/Customize Columns	NULL	Customize Columns
46	click	xpath////*[@id="manageColumns"]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/button[1]/span[1]	NULL	click
47	click	aria/Discount	NULL	Discount
48	click	aria/Discount	NULL	Discount
49	input	aria/Discount	DISCOUNT	Discount
50	click	aria/Cess	NULL	Cess
51	click	aria/Cess	NULL	Cess
52	input	aria/Cess	CESS	Cess
53	click	aria/Submit	NULL	Submit
54	click	aria/Customize Columns	NULL	Customize Columns
55	click	aria/Add Columns	NULL	Add Columns
56	click	aria/Discount	NULL	Discount
57	click	aria/Discount	NULL	Discount
58	input	aria/Discount	DISCOUNT	Discount
59	click	aria/Cess	NULL	Cess
60	click	aria/Cess	NULL	Cess
61	input	aria/Cess	CESS	Cess
62	click	aria/Add Charges	NULL	Add Charges
63	click	[placeholder="Search by charge name"]	NULL	Charge*
64	click	aria/SKU: CH0004	NULL	SKU: CH0004
65	click	aria/Submit	NULL	Submit
66	click	aria/add Add Item	NULL	add Add Item
67	click	[placeholder="Select item"]	NULL	Item Name
68	click	aria/SKU: ASHRM002	NULL	SKU: ASHRM002
69	click	input[name="products[0][quantity]"]	NULL	Shipping Address*
70	input	input[name="products[0][quantity]"]	2	Shipping Address*
71	input	input[name="products[0][quantity]"]	2	Shipping Address*
72	click	input[name="products[0][tolerancePercentage]"]	NULL	Expected Delivery Date
73	input	input[name="products[0][tolerancePercentage]"]	1	Expected Delivery Date
74	input	input[name="products[0][tolerancePercentage]"]	1	Expected Delivery Date
75	click	aria/Handling Charge	NULL	Handling Charge
76	input	aria/Handling Charge	1	Handling Charge
77	scroll	NULL	{"x":0,"y":304}	Scroll to 0, 304
78	input	aria/Handling Charge	1	Handling Charge
79	click	div.form-group.form-group-depth-3 > div.checkbox-group > div > label.checkboxLabel > span	NULL	click
80	click	input[name="products[0][isQualityCheckEnabled]"]	NULL	Quality Check
81	input	input[name="products[0][isQualityCheckEnabled]"]	CHECKED	Quality Check
82	click	#productsTableScroll	NULL	#productsTableScroll
83	click	aria/Select Configurations	NULL	Select Configurations
84	click	[placeholder="Select test configurations..."]	NULL	Test Configurations*
85	input	[placeholder="Select test configurations..."]	a	Test Configurations*
86	input	[placeholder="Select test configurations..."]	as	Test Configurations*
87	input	[placeholder="Select test configurations..."]	as	Test Configurations*
88	click	aria/Coal	NULL	Coal
89	click	aria/Coal	NULL	Coal
90	input	aria/Coal	on	Coal
91	click	aria/Coal	NULL	Coal
92	click	aria/Coal	NULL	Coal
93	input	aria/Coal	on	Coal
94	click	aria/t1	NULL	t1
95	click	aria/t1	NULL	t1
96	input	aria/t1	on	t1
97	click	aria/Coal	NULL	Coal
98	click	aria/Coal	NULL	Coal
99	input	aria/Coal	on	Coal
100	click	aria/Coal Grp	NULL	Coal Grp
101	click	aria/Coal Grp	NULL	Coal Grp
102	input	aria/Coal Grp	on	Coal Grp
103	click	aria/Submit	NULL	Submit
104	click	[placeholder="Select test configurations..."]	NULL	Test Configurations*
105	click	aria/Submit	NULL	Submit
106	click	aria/Cancel	NULL	Cancel
107	scroll	NULL	{"x":0,"y":304}	Scroll to 0, 304
108	scroll	NULL	{"x":0,"y":304}	Scroll to 0, 304
109	click	aria/content_copy	NULL	content_copy
